group_id	task_id	window_index	da_n_utterances	da_n_speakers	da_statement	da_proposal	da_agreement	da_disagreement	da_compromise	da_question	da_backchannel	da_hedge	da_decision	da_offtask	da_dominant
grp-07	T1	5	3	2	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.05555555555555555	0.05128205128205129	0.0	0.0	backchannel
grp-07	T1	6	4	2	0.027777777777777776	0.0	0.0	0.0	0.0	0.0625	0.020833333333333332	0.0	0.0	0.0	question
grp-07	T1	7	3	1	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	statement
grp-07	T1	8	6	3	0.037037037037037035	0.0	0.013888888888888888	0.016666666666666666	0.0	0.0	0.013888888888888888	0.012820512820512822	0.0	0.0	statement
grp-07	T1	9	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	backchannel
grp-07	T1	10	4	2	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	statement
grp-07	T1	11	3	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	statement
grp-07	T1	12	7	2	0.06349206349206349	0.0	0.023809523809523808	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	statement
grp-07	T1	13	7	2	0.0	0.0	0.0	0.0	0.0	0.023809523809523808	0.047619047619047616	0.0	0.0	0.0	backchannel
grp-07	T2	3	2	1	0.05555555555555555	0.041666666666666664	0.0	0.0	0.0	0.08333333333333333	0.0	0.038461538461538464	0.0	0.0	question
grp-07	T2	4	7	2	0.0	0.0	0.0	0.0	0.0	0.011904761904761904	0.0	0.0	0.0	0.0	statement
grp-07	T2	5	5	2	0.08888888888888888	0.016666666666666666	0.016666666666666666	0.0	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	statement
grp-07	T2	6	3	2	0.037037037037037035	0.0	0.05555555555555555	0.0	0.0	0.027777777777777776	0.027777777777777776	0.0	0.0	0.0	agreement
