#	group_id	task_id	onset_b	speaker_a	context_a_prev	text_a	speaker_b	text_b	gap_s	is_completion	is_repetition
0	grp-07	T1	178.2	P2		yeah	P3	when I talk, but do you have a favourite candidate?	-14.81		
1	grp-07	T1	183.0	P2		yeah	P3	If yes, why?	-10.0		
2	grp-07	T1	184.0	P2		yeah	P3	Which candidate would you hire for this AI adoption and transformation specialist role?	-9.0		
3	grp-07	T1	263.0	P4		I mean, I would agree to that.	P3	mmh	-14.43		
4	grp-07	T1	264.0	P3	If yes, why? | Which candidate would you hire for this AI adoption and transformation specialist role?	mmh	P4	I think A also has facilitated the rollout of trainings.	0.0		
5	grp-07	T2	126.0	P3	Shall we get started? | I think before we can decide format, we should maybe start with the topics.	Topic selection.	P4	That's correct.	0.28		
7	grp-07	T2	127.0	P3	I think before we can decide format, we should maybe start with the topics. | Topic selection.	Do you have any opinions on that?	P4	I have one topic which is people and culture.	-0.44		
8	grp-07	T2	282.0	P1	Yeah, but we need to choose one of them, right? | So, if it's one of the…	One of the four.	P3	One of the four.	0.0		
9	grp-07	T2	283.0	P3	I'm fine with those two. | One of three or four?	One of the four.	P4	mmh	0.0		
10	grp-07	T2	284.0	P4	So we agree on the topics? | Then we go for people and culture?	mmh	P1	And then in that case, if we agree, it would be people and culture, which will zoom on one between three and four.	0.0		
11	grp-07	T2	294.5	P1	One of the four. | And then in that case, if we agree, it would be people and culture, which will zoom on one between three and four.	So we could actually choose one of them which actually makes the most sense, and I think...	P4	Yeah, I agree, which is one of them.	-5.04		
12	grp-07	T2	375.0	P3	mmh | mmh	mmh	P4	about environmental topics.	0.0		
13	grp-07	T2	389.0	P3	mmh | mmh	All good.	P1	All good?	0.39		
14	grp-07	T2	391.3	P1	So we vote for three, or do we have some other points anyone would like to bring up? | All good?	What do you say?	P2	Honestly, I don't understand.	-0.69		
15	grp-07	T2	417.8	P2	So what are we talking about here? | What our workshop should be on or what?	Ah, okay, yes.	P1	Yeah so first one, we were talking about what makes sense to have as a workshop out of those four.	0.04		
16	grp-07	T2	430.4	P2	What our workshop should be on or what? | Ah, okay, yes.	Yes.	P1	Olena and me, and I think even you agree with it, that going with sustainability would be a better topic to start with, so we can engage everyone.	0.4		
